date,precipitation
2007-01-01,0.0
2007-01-02,0.0
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,3.840468645095825
2007-01-06,0.0
2007-01-07,0.0
2007-01-08,0.0
2007-01-09,0.0
2007-01-10,0.0
2007-01-11,0.0
2007-01-12,0.0
2007-01-13,0.0
2007-01-14,0.0
2007-01-15,0.0
2007-01-16,0.0
2007-01-17,0.0
2007-01-18,0.0
2007-01-19,0.0
2007-01-20,0.0
2007-01-21,0.0
2007-01-22,0.0
2007-01-23,0.0
2007-01-24,0.0
2007-01-25,0.0
2007-01-26,0.0
2007-01-27,0.0
2007-01-28,0.0
2007-01-29,0.0
2007-01-30,0.0
2007-01-31,0.0
2007-02-01,0.0
2007-02-02,0.0
2007-02-03,0.0
2007-02-04,0.0
2007-02-05,0.0
2007-02-06,0.0
2007-02-07,0.0
2007-02-08,0.0
2007-02-09,0.0
2007-02-10,0.0
2007-02-11,0.0
2007-02-12,0.0
2007-02-13,0.0
2007-02-14,0.0
2007-02-15,0.0
2007-02-16,0.0
2007-02-17,0.0
2007-02-18,0.0
2007-02-19,0.0
2007-02-20,0.0
2007-02-21,0.0
2007-02-22,0.0
2007-02-23,6.333000183105469
2007-02-24,6.333000183105469
2007-02-25,0.0
2007-02-26,0.0
2007-02-27,4.41032075881958
2007-02-28,0.0
2007-03-01,0.0
2007-03-02,0.0
2007-03-03,0.0
2007-03-04,0.0
2007-03-05,0.0
2007-03-06,0.0
2007-03-07,0.0
2007-03-08,0.0
2007-03-09,0.0
2007-03-10,0.0
2007-03-11,0.0
2007-03-12,0.0
2007-03-13,0.0
2007-03-14,0.0
2007-03-15,0.0
2007-03-16,0.0
2007-03-17,0.0
2007-03-18,0.0
2007-03-19,0.0
2007-03-20,0.0
2007-03-21,0.0
2007-03-22,0.0
2007-03-23,0.0
2007-03-24,0.0
2007-03-25,0.0
2007-03-26,0.0
2007-03-27,0.0
2007-03-28,0.0
2007-03-29,42.528072357177734
2007-03-30,10.632018089294434
2007-03-31,0.0
2007-04-01,0.0
2007-04-02,0.0
2007-04-03,0.0
2007-04-04,0.0
2007-04-05,0.0
2007-04-06,5.703118324279785
2007-04-07,0.0
2007-04-08,0.0
2007-04-09,0.0
2007-04-10,0.0
2007-04-11,0.0
2007-04-12,0.0
2007-04-13,6.480633735656738
2007-04-14,12.961267471313477
2007-04-15,6.480633735656738
2007-04-16,0.0
2007-04-17,4.008155345916748
2007-04-18,0.0
2007-04-19,0.0
2007-04-20,8.016310691833496
2007-04-21,0.0
2007-04-22,0.0
2007-04-23,0.0
2007-04-24,11.252123832702637
2007-04-25,16.87818717956543
2007-04-26,0.0
2007-04-27,0.0
2007-04-28,9.575214385986328
2007-04-29,19.150428771972656
2007-04-30,0.0
2007-05-01,0.0
2007-05-02,0.0
2007-05-03,22.81216812133789
2007-05-04,45.62433624267578
2007-05-05,79.84259796142578
2007-05-06,40.885257720947266
2007-05-07,0.0
2007-05-08,10.221314430236816
2007-05-09,20.442628860473633
2007-05-10,0.0
2007-05-11,38.456512451171875
2007-05-12,38.456512451171875
2007-05-13,19.228256225585938
2007-05-14,0.0
2007-05-15,9.614128112792969
2007-05-16,11.420259475708008
2007-05-17,0.0
2007-05-18,22.840518951416016
2007-05-19,0.0
2007-05-20,0.0
2007-05-21,21.2955322265625
2007-05-22,0.0
2007-05-23,0.0
2007-05-24,0.0
2007-05-25,0.0
2007-05-26,0.0
2007-05-27,13.655010223388672
2007-05-28,20.482513427734375
2007-05-29,13.655010223388672
2007-05-30,6.827505111694336
2007-05-31,13.655010223388672
2007-06-01,7.666905879974365
2007-06-02,15.33381175994873
2007-06-03,23.000717163085938
2007-06-04,7.666905879974365
2007-06-05,15.33381175994873
2007-06-06,4.985090732574463
2007-06-07,4.985090732574463
2007-06-08,4.985090732574463
2007-06-09,0.0
2007-06-10,0.0
2007-06-11,3.0058329105377197
2007-06-12,9.017498016357422
2007-06-13,3.0058329105377197
2007-06-14,6.0116658210754395
2007-06-15,0.0
2007-06-16,5.06558084487915
2007-06-17,7.598371505737305
2007-06-18,7.598371505737305
2007-06-19,10.1311616897583
2007-06-20,7.598371505737305
2007-06-21,0.0
2007-06-22,4.450242519378662
2007-06-23,13.350728034973145
2007-06-24,8.900485038757324
2007-06-25,8.900485038757324
2007-06-26,32.280860900878906
2007-06-27,8.070215225219727
2007-06-28,0.0
2007-06-29,8.070215225219727
2007-06-30,0.0
2007-07-01,0.0
2007-07-02,0.0
2007-07-03,0.0
2007-07-04,0.0
2007-07-05,62.06172180175781
2007-07-06,0.0
2007-07-07,0.0
2007-07-08,35.784976959228516
2007-07-09,0.0
2007-07-10,35.784976959228516
2007-07-11,0.0
2007-07-12,0.0
2007-07-13,0.0
2007-07-14,0.0
2007-07-15,0.0
2007-07-16,0.0
2007-07-17,9.97407054901123
2007-07-18,9.97407054901123
2007-07-19,19.94814109802246
2007-07-20,19.94814109802246
2007-07-21,11.669113159179688
2007-07-22,5.834556579589844
2007-07-23,17.50366973876953
2007-07-24,11.669113159179688
2007-07-25,0.0
2007-07-26,10.296767234802246
2007-07-27,10.296767234802246
2007-07-28,10.296767234802246
2007-07-29,0.0
2007-07-30,0.0
2007-07-31,30.890304565429688
2007-08-01,29.169179916381836
2007-08-02,0.0
2007-08-03,0.0
2007-08-04,0.0
2007-08-05,0.0
2007-08-06,15.599658012390137
2007-08-07,15.599658012390137
2007-08-08,10.399771690368652
2007-08-09,10.399771690368652
2007-08-10,0.0
2007-08-11,5.756010055541992
2007-08-12,5.756010055541992
2007-08-13,0.0
2007-08-14,0.0
2007-08-15,11.512020111083984
2007-08-16,10.940322875976562
